wj|(Admirativpartikel)|Wb I S 270|(Admirativpartikel)
Xnt|[Veranstaltung des G&ouml;tterkultes]|Wb III S 375|[Veranstaltung des Goetterkultes]
Xnw|Speisen|Wb III S 373|Speisen
Xn-jH|Rinderf&auml;hre|Wb III S 376|Rinderfaehre
Xn-nxn|[Bezeichnung f&uuml;r Ober&auml;gypten]|Wb III S 372|[Bezeichnung fuer Oberaegypten]
Xn-Hrt|[Beiname des Horus]|Wb III S 373|[Beiname des Horus]
Xn-sA|[Gelehrte]|Wb III S 373|[Gelehrte]
Xnj|fahren, rudern|Wb III S 374|fahren, rudern
Xnjt|Rudermannschaft|Wb III S 376|Rudermannschaft
Xnjjw|Leute des Haushaltes(?)|Meeks: AL 783208|Leute des Haushaltes(?)
Xnj-Hr-mw|jemandem ergeben sein|Wb III S 374|jemandem ergeben sein
Xnw|Inneres|Wb III S 368|Inneres
Xnw|Wohnort|Wb III S 369|Wohnort
Xnw|Gew&auml;sser|Wb III S 373|Gewaesser
Xnw|Ruderer|Wb III S 375|Ruderer
Xnw|[Getr&auml;nk]|Meeks: AL 773255|[Getraenk]
Xnwtjw|[Bezeichnung eines Fremdvolkes]|Wb III S 373|[Bezeichnung eines Fremdvolkes]
Xnw-a|[Teil des Palastes]|Wb III S 372|[Teil des Palastes]
Xnw-awj|[Getr&auml;nk]|Wb III S 372|[Getraenk]
Xnw-awj|Umarmung|Wb III S 372|Umarmung
Xnw-aH|Wohnung des K&ouml;nigs und des Osiris im Palast|Wb III S 372|Wohnung des Koenigs und des Osiris im Palast
Xnw-pr|[Teil des Tempels]|Wb III S 369|[Teil des Tempels]
Xnw-xnj|[Teil der thebanischen Nekropole]|Wb III S 370|[Teil der thebanischen Nekropole]
Xnwtj|[Teil der K&ouml;rperglieder]|Wb III S 373|[Teil der Koerperglieder]
Xnbb|sich unter Personen mischen|Wb III S 376|sich unter Personen mischen
Xnm|[Gef&auml;&szlig; f&uuml;r &Ouml;l]|Wb III S 377|[Gefaess fuer Oel]
Xnm|sich vereinigen mit|Wb III S 377|sich vereinigen mit
Xnm|Bekannte jemandes|Wb III S 381|Bekannte jemandes
Xnm|Sumpfgefl&uuml;gel|Wb III S 381|Sumpfgefluegel
Xnm|bilden|Wb III S 382|bilden
Xnm|Salbe|Meeks: AL 783213|Salbe
Xnm|[Produkt]|RdE 30 (1978) S 17|[Produkt]
Xnm|Nachk&ouml;mmling(?)|Meeks: AL 783216|Nachkoemmling(?)
Xnm|Becken(?) (f&uuml;r Bew&auml;sserung)|Meeks: AL 792335|Becken(?) (fuer Bewaesserung)
Xnmt|Amme|Wb III S 381|Amme
Xnmt|[Priesterin im Gau Arsinoe]|Wb III S 381|[Priesterin im Gau Arsinoe]
Xnmt|[Bezeichnung des zunehmenden Mondauges]|Wb III S 381|[Bezeichnung des zunehmenden Mondauges]
Xnmt|[Behausung des heiligen Krokodils von Ombos]|Wb III S 382|[Behausung des heiligen Krokodils von Ombos]
Xnmt|Sieb|Wb III S 382|Sieb
Xnmt|Brunnen|Wb III S 382|Brunnen
Xnmt|[Gew&auml;sser]|Wb III S 383|[Gewaesser]
Xnmtj|Nasenl&ouml;cher|Wb III S 376|Nasenloecher
Xnmw|Rudel (Wild)|Wb III S 381|Rudel (Wild)
Xnmw|Chnum|Wb III S 381|Chnum
Xnm-jb|Herz erfreuen|Wb III S 379|Herz erfreuen
Xnm-jrw|Zeremonien vollziehen|Wb III S 379|Zeremonien vollziehen
Xnmt-anx|[12 Tagesstunde]|Wb III S 379|[12 Tagesstunde]
Xnmt-anx|[Hathor-Isis]|Wb III S 379|[Hathor-Isis]
Xnmt-anx|[Bezeichnung der Nekropole]|Wb III S 379|[Bezeichnung der Nekropole]
Xnmt-wAst|[Ramesseum]|Wb III S 379|[Ramesseum]
Xnm-wDAt|[Fest]|Wb III S 379|[Fest]
Xnmt-nTr|[Titel des Gottesweibes]|Wb III S 377|[Titel des Gottesweibes]
Xnm-THHwt|voll Freude sein|Wb V S 395|voll Freude sein
Xnmjt|[Gew&auml;sser im Gau von Hierakon]|Wb III S 383|[Gewaesser im Gau von Hierakon]
Xnn|st&ouml;ren|Wb III S 383|stoeren
Xnn|in Unordnung sein (von Gliedern)|Wb III S 384|in Unordnung sein (von Gliedern)
Xnn|entz&uuml;ndet sein|Wb III S 384|entzuendet sein
Xnnw|St&ouml;renfried|Wb III S 383|Stoerenfried
Xnnw|[offizinell Verwendetes]|Wb III S 384|[offizinell Verwendetes]
Xnnw|[Gott]|Wb III S 384|[Gott]
Xnnw|St&ouml;rung|Wb III S 383|Stoerung
Xnnw|[Gef&auml;&szlig;(?)]|Meeks: AL 783221|[Gefaess(?)]
Xnnw-m-pt|Unwetter|Wb III S 383|Unwetter
Xnnmt|[Gew&auml;sser]|Wb III S 384|[Gewaesser]
Xnnn|[Gew&auml;sser]|Wb III S 384|[Gewaesser]
XnXn|herantreten an|Wb III S 384|herantreten an
XnXn|zur Seite von, in Gesellschaft von|Wb III S 384|zur Seite von, in Gesellschaft von
Xnsd|[Stirnband]|Wb III S 384|[Stirnband]
Xnk|[Substantiv]|Wb III S 385|[Substantiv]
Xnkj|[Kleid]|Wb III S 385|[Kleid]
Xntj|Statue|Wb III S 385|Statue
Xntj|[Salbgef&auml;&szlig; in Gestalt des opfernden K&ouml;nigs]|Wb III S 385|[Salbgefaess in Gestalt des opfernden Koenigs]
Xntk|Schmuck|RdE 30 (1978) S 17|Schmuck
Xr|[offizinell verwendeter Teil von B&auml;umen]|Wb III S 385|[offizinell verwendeter Teil von Baeumen]
Xr|Gestell (f&uuml;r Kr&uuml;ge)|Wb III S 385|Gestell (fuer Kruege)
Xr|unter|Wb III S 386|unter
Xr|infolge|Wb III S 388|infolge
Xr|Angeh&ouml;rige|Wb III S 392|Angehoerige
Xrt|Bedarf|Wb III S 390|Bedarf
Xrt|Jenseits|Meeks: AL 773271|Jenseits
Xrtj|[Gott]|Wb III S 392|[Gott]
Xr-jw|Frevler|Wb I S 48|Frevler
Xrt-jbd|monatlicher Bedarf|Wb III S 391|monatlicher Bedarf
Xr-a|unter jemandes Leitung|Wb I S 157|unter jemandes Leitung
Xr-a|[Tau am Schiff]|Wb III S 394|[Tau am Schiff]
Xr-a|[Tasche mit Instrumenten]|Wb III S 394|[Tasche mit Instrumenten]
Xr-a|Erm&auml;chtigung(?)|Meeks: AL 783231|Ermaechtigung(?)
Xrt-a|[Beh&auml;lter f&uuml;r Schreibzeug]|Wb III S 394|[Behaelter fuer Schreibzeug]
Xr-arjt|[Dekangestirn]|Wb I S 209|[Dekangestirn]
Xr-pHwj|hinter|Wb I S 536|hinter
Xr-mrjt|[Bezeichnung f&uuml;r Krokodile]|Wb II S 110|[Bezeichnung fuer Krokodile]
Xr-nTr|Nekropole|Wb III S 394|Nekropole
Xrtj-nTr|Nekropolenarbeiter|Wb III S 394|Nekropolenarbeiter
Xr-rmn-sAH|[Dekan]|Wb II S 420|[Dekan]
Xr-Hr|unter jemandes Aufsicht|Wb III S 126|unter jemandes Aufsicht
Xr-xAbs|Lampenst&auml;nder|Meeks: AL 792352|Lampenstaender
Xr-xpd-n-qnmwt|[Dekan]|Wb III S 271|[Dekan]
Xr-xpd-srt|[Dekan]|Wb III S 271|[Dekan]
Xr-xt|[Gott]|Wb III S 395|[Gott]
Xr-st-Hr|unter jemandes Aufsicht|Wb IV S 4|unter jemandes Aufsicht
Xr-sxrw=f|unterstellt sein|Wb IV S 258|unterstellt sein
Xr-stj|f&uuml;nfarmiger Leuchter|Wb III S 395|fuenfarmiger Leuchter
Xr-sDt|Feuerbecken auf St&auml;ndern|Wb III S 395|Feuerbecken auf Staendern
Xr-qnj|Gep&auml;cktr&auml;ger|Wb V S 51|Gepaecktraeger
Xrt-t|Brotform|Meeks: AL 792354|Brotform
Xr-Drt|unter jemandes Leitung|Wb V S 583|unter jemandes Leitung
Xrj|befindlich unter|Wb III S 388|befindlich unter
Xrj|[Vogel]|Wb III S 396|[Vogel]
Xrjw|[Bezeichnung der Menschen]|Wb III S 392|[Bezeichnung der Menschen]
Xrjw-tA|[Bezeichnung der Toten]|Wb III S 389|[Bezeichnung der Toten]
Xrj-jAt=f|[heilige Schlange von Pelusium]|Wb III S 393|[heilige Schlange von Pelusium]
Xrj-a|Gehilfe|Wb III S 393|Gehilfe
Xrj-aHA|Babylon (Alt-Kairo)|Wb III S 394|Babylon (Alt-Kairo)
Xrjj-wDa|[Ger&auml;t aus Bronze]|RdE 30 (1978) S 17; Meeks: AL 783234|[Geraet aus Bronze]
Xrjj-mAaw|Besatzungsmitglied, Mitglied der Mannschaft|RdE 30 (1978) S 18; Meeks: AL 783235|Besatzungsmitglied, Mitglied der Mannschaft
Xrj-mrHt|Hausrat|Wb II S 112|Hausrat
Xrj-mdw|jemandem unterstellt sein|Wb III S 394|jemandem unterstellt sein
Xrj-nTr|Totenreich|Wb III S 394|Totenreich
Xrj-Hb|[Priester]|Wb III S 395|[Priester]
Xrj-xwdt|S&auml;nftentr&auml;ger|Wb III S 389|Saenftentraeger
Xrjj-xpS|innerer Teil des Armes|RdE 29 (1977) S 11|innerer Teil des Armes
Xrj-Xt|Unterleib|Wb III S 395|Unterleib
Xrj-saH=f|Toter|Wb IV S 52|Toter
Xrj-Tbwt|Sandalentr&auml;ger|Wb III S 389|Sandalentraeger
Xrj-dmt|Leidender|Wb III S 390|Leidender
Xrj-Dbaw|Getadelter|Wb V S 567|Getadelter
Xrw|Unterseite|Wb III S 392|Unterseite
Xrwj|Hoden|Wb III S 393|Hoden
Xrb|sich verwandeln|Wb III S 396|sich verwandeln
Xrskt|[Bezeichnung der Anukis und der Nephthys]|Wb III S 396|[Bezeichnung der Anukis und der Nephthys]
Xrtj|[widdergestaltiger Gott]|Wb III S 396|[widdergestaltiger Gott]
Xrtj|[Geb&auml;ude]|Wb III S 396|[Gebaeude]
Xrd|Kind|Wb III S 396|Kind
Xrd|Jungtier|Wb III S 398|Jungtier
Xrd|Tochter|Wb III S 398|Tochter
Xrd|Kind sein|Wb III S 398|Kind sein
Xrdt|Kinderschar|Wb III S 398|Kinderschar
Xrdw|junge Leute|Wb III S 397|junge Leute
Xrdw|Kindheit|Wb III S 398|Kindheit
Xrd-mswt|wiedergeboren werden als Kind (vom Mond)|Wb III S 398|wiedergeboren werden als Kind (vom Mond)
Xrd-n-sbnt|S&auml;ugling|Wb IV S 90|Saeugling
XsA|ungesalbt|Wb III S 400|ungesalbt
XsA|[offizinell Verwendetes]|Wb III S 400|[offizinell Verwendetes]
XsAjt|[&Ouml;l]|Wb III S 400|[Oel]
Xsj|schwach sein|Wb III S 398|schwach sein
Xsj|Schwacher|Wb III S 399|Schwacher
Xsj|(= {xzAw}) [Pflanze als Brennmaterial]|Wb III S 399|(= {xzAw}) [Pflanze als Brennmaterial]
Xsj|[Beiname des Osiris]|Wb III S 399|[Beiname des Osiris]
Xsjt|Schw&auml;che|Wb III S 399|Schwaeche
Xsj-qd|b&ouml;sartig (von Seth)|Wb III S 399|boesartig (von Seth)
Xsw|[Teil des Auges]|Wb III S 400|[Teil des Auges]
Xss|Ecke (eines Geb&auml;udes u &auml;)|Wb III S 400|Ecke (eines Gebaeudes u ae)
Xstj|[Beiname des Osiris]|Wb III S 400|[Beiname des Osiris]
Xstj|traurig werden|Wb III S 400|traurig werden
Xqj|[Tierhaut]|RdE 29 (1977) S 11; Meeks: AL 773286|[Tierhaut]
Xqs|verletzen, (Horusauge)|Wb III S 400|verletzen, (Horusauge)
Xqst|besch&auml;digtes Auge|Wb III S 401|beschaedigtes Auge
Xkr|geschm&uuml;ckt sein|Wb III S 401|geschmueckt sein
Xkr|Schmuck|Wb III S 401|Schmuck
Xkr|[Bezeichnung des Salbenlaboratoriums]|Wb III S 402|[Bezeichnung des Salbenlaboratoriums]
Xkr|[Bezeichnung f&uuml;r Osiris]|Wb III S 402|[Bezeichnung fuer Osiris]
Xkr||Meeks: AL 773289|
Xkrt|ehemalige Haremsdamen|Wb III S 401|ehemalige Haremsdamen
Xkrt|Ur&auml;usschlange (Buto)|Wb III S 401|Uraeusschlange (Buto)
Xkrt|[Bezeichnung f&uuml;r Hathor]|Wb III S 401|[Bezeichnung fuer Hathor]
Xkrt|(in unklarem Zusammenhang)|Wb III S 401|(in unklarem Zusammenhang)
Xkr-n-Hr|[Bezeichnung f&uuml;r Kronen]|Wb III S 401|[Bezeichnung fuer Kronen]
Xkr-ra|[Bezeichnung der Kronen]|Wb III S 401|[Bezeichnung der Kronen]
Xkrjt|wei&szlig;es Kopftuch|Wb III S 402|weisses Kopftuch
Xkrjt|Halskette mit Menit|Wb III S 402|Halskette mit Menit
Xt|grob gearbeitet, grob|Meeks: AL 792364|grob gearbeitet, grob
Xtj|das Fell abziehen|Meeks: AL 773290|das Fell abziehen
Xtjs|[Titel von Priesterinnen]|Wb III S 402|[Titel von Priesterinnen]
Xtb|niederwerfen|Wb III S 402|niederwerfen
Xtb|eintauchen (Medikamente in &Ouml;l)|Wb III S 402|eintauchen (Medikamente in Oel)
XtXt|[milit&auml;rischer Verwaltungsbeamter]|Wb III S 403|[militaerischer Verwaltungsbeamter]
XtXt|untersuchen|Meeks: AL 773292|untersuchen
Xtt|ausrei&szlig;en (Flachs u &auml;)|Wb III S 403|ausreissen (Flachs u ae)
Xttj|wie|RdE 29 (1977) S 11|wie
Xdb|t&ouml;ten|Wb III S 403|toeten
Xdbj|Viehhalter|Wb III S 403|Viehhalter
Xdr|(= {Xrd}) Kind|Wb III S 403|(= {Xrd}) Kind
Xdr|[Art des Schlafens im Alter]|Wb III S 403|[Art des Schlafens im Alter]
XdXd|untersuchen|Cerny: CED S 303|untersuchen
s|Riegel (der T&uuml;r)|Wb III S 404|Riegel (der Tuer)
s|Mann|Wb III S 404|Mann
s|Wesen (von einer Schlange)|Wb III S 406|Wesen (von einer Schlange)
s|[Fisch]|Wb III S 406|[Fisch]
st|Frau|Wb III S 406|Frau
st|[Krankheit]|Wb III S 407|[Krankheit]
st|[Gans oder Ente]|Wb III S 407|[Gans oder Ente]
s|[Tuch, wie es die Vornehmen halten]|Wb IV S 1|[Tuch, wie es die Vornehmen halten]
s|[Gef&auml;&szlig; aus Gold]|Wb IV S 1|[Gefaess aus Gold]
s|[Gans]|Wb IV S 1|[Gans]
st|Sitz, Platz, Stelle|Wb IV S 1|Sitz, Platz, Stelle
st|G&ouml;ttin Isis|Wb IV S 8|Goettin Isis
stj|Thronfolger|Wb IV S 8|Thronfolger
stt|Thronerbin|Wb IV S 8|Thronerbin
st-|&lt;&lt;Pr&auml;fix zur Bildung von Abstrakta&gt;&gt;|Firchow: In: Z&Auml;S 79 (1954) S 91 - 94|<<Praefix zur Bildung von Abstrakta>>
st-jb|Lieblingsort|Wb IV S 4|Lieblingsort
st-a|[Bezeichnung der Krankheit]|Wb I S 157|[Bezeichnung der Krankheit]
st-wnp|[Edfu]|Wb IV S 5|[Edfu]
st-wrt|Thron|Wb IV S 7|Thron
st-wrt|Allerheiligstes (im Tempel)|Wb IV S 7|Allerheiligstes (im Tempel)
st-wrt|[Bezeichnung f&uuml;r Edfu]|Wb IV S 7|[Bezeichnung fuer Edfu]
st-wrt|[Bezeichnung f&uuml;r Dendera]|Wb IV S 7|[Bezeichnung fuer Dendera]
st-mAA-jtn|[Bezeichnung des Daches des Tempels von Dendera]|Wb IV S 5|[Bezeichnung des Daches des Tempels von Dendera]
st-mAat|[Bezeichnung f&uuml;r heilige Orte]|Wb IV S 6|[Bezeichnung fuer heilige Orte]
st-mAat|[Bezeichnung der Nekropole]|Wb IV S 7|[Bezeichnung der Nekropole]
st-mAat|Deir el Medineh|Wb IV S 7|Deir el Medineh
st-msxnt|[Dendera]|Wb IV S 5|[Dendera]
s-n-mH-wa|kleines Kind|Wb III S 406|kleines Kind
st-n-sr|Orakelst&auml;tte|Wb IV S 189|Orakelstaette
s-nb|jedermann|Wb III S 404|jedermann
st-nfrw|[Gr&auml;ber der K&ouml;niginnen bei Theben]|Wb IV S 5|[Graeber der Koeniginnen bei Theben]
st-nhm|[Dendera]|Wb II S 285|[Dendera]
st-nHb|[Teil des Ramesseums]|Wb II S 293|[Teil des Ramesseums]
st-rA|Mund|Wb IV S 4|Mund
st-ra|[Dendera]|Wb IV S 3|[Dendera]
st-ra|Thron des Re = Himmel|Meeks: AL 783253|Thron des Re = Himmel
st-rd|Standort, Rang|Wb II S 461|Standort, Rang
st-Hmt|Frau|Wb III S 77|Frau
st-Hms|Wohnsitz|Wb III S 97|Wohnsitz
st-Hr|K&ouml;nigsthron|Wb IV S 7|Koenigsthron
st-Htp|Ruheplatz|Wb III S 191|Ruheplatz
st-xt|[Ruhebett]|Wb IV S 6|[Ruhebett]
st-sAb|Freudensitz|Wb III S 421|Freudensitz
st-swtwt|Prozessionsweg, Spaziergang|Wb IV S 5|Prozessionsweg, Spaziergang
st-smtr|Untersuchungshof|Wb IV S 5|Untersuchungshof
st-snw|Isis und Nephthys|Wb III S 406|Isis und Nephthys
st-snDm|Wohnort|Wb IV S 187|Wohnort
st-sSSt|[Dendera]|Wb III S 487|[Dendera]
st-sdg|Versteck ({st-sdgA})|Wb IV S 272|Versteck ({st-sdgA})
st-qbt|Erheiterung|Wb V S 23|Erheiterung
st-qsnt|b&ouml;ser Zustand|Wb V S 70|boeser Zustand
sA|Sohn|Wb III S 408|Sohn
sA|Achtelarure|Wb III S 411|Achtelarure
sA|[Produkt einer Entz&uuml;ndung]|Wb III S 411|[Produkt einer Entzuendung]
sA|[als Personifikation eines Gew&auml;ssers]|Wb III S 411|[als Personifikation eines Gewaessers]
sA|abwehren|Wb III S 412|abwehren
sA|[Matte]|Wb III S 413|[Matte]
sA|Herde|Wb III S 413|Herde
sA|Trupp|Wb III S 413|Trupp
sA|Acker|Wb III S 414|Acker
sA|Schutz|Wb III S 414|Schutz
sA|Zauberfiguren|Wb III S 415|Zauberfiguren
sA|jemanden begr&uuml;&szlig;en|Wb III S 416|jemanden begruessen
sAt|Tochter|Wb III S 411|Tochter
sAt|Fu&szlig;bodenplatten|Wb III S 412|Fussbodenplatten
sAtj|Kinderpaar (Schu und Tefnut)|Wb III S 412|Kinderpaar (Schu und Tefnut)
sAtj|Beiwort des K&ouml;nigs als Erbe des Geb|Wb III S 412|Beiwort des Koenigs als Erbe des Geb
sA|R&uuml;cken|Wb IV S 8|Ruecken
sA|Au&szlig;en|Wb IV S 12|Aussen
sA|Haus|Wb IV S 13|Haus
sA|Wasserschwall|Wb IV S 13|Wasserschwall
sA|Stall|Wb IV S 13|Stall
sA|Schmutz|Wb IV S 13|Schmutz
sA|reichlicher Erntesegen|Wb IV S 13|reichlicher Erntesegen
sA|[Perle]|Wb IV S 13|[Perle]
sA|(= {sAr}) Wunsch|Wb IV S 14|(= {sAr}) Wunsch
sA|[Quellg&ouml;tter von Philae]|Wb IV S 14|[Quellgoetter von Philae]
sA|schwach|Wb IV S 14|schwach
sA|junger Stier(?)|Meeks: AL 773325|junger Stier(?)
sA|auf den R&uuml;cken legen(?)|Meeks: AL 783277|auf den Ruecken legen(?)
sAt|Mauer|Wb IV S 14|Mauer
sAt|[kostbares Erzeugnis Nubiens]|Wb IV S 14|[kostbares Erzeugnis Nubiens]
sAt|[&Ouml;rtlichkeit (mit T&uuml;ren)]|Wb IV S 14|[Oertlichkeit (mit Tueren)]
sAt|S&auml;ttigung|Wb IV S 15|Saettigung
sAt|Satte|Wb IV S 15|Satte
sAt|[von Esel getragener Korb]|RdE 29 (1977) S 11; Meeks: AL 773328|[von Esel getragener Korb]
s(A)|[Fisch]|Meeks: AL 773326|[Fisch]
sAw|Finsternis|Wb III S 412|Finsternis
sAwj|Zweidrittelgold|Wb IV S 13|Zweidrittelgold
sAwt|Geb&auml;ude eines Ortes|Wb IV S 14|Gebaeude eines Ortes
sAwtt|S&ouml;hne und T&ouml;chter|Meeks: AL 783263; Meeks: AL 792386|Soehne und Toechter
sA-wr|Sonnengott|Wb III S 415|Sonnengott
sA-wr|[offizinell Verwendetes]|Wb III S 415|[offizinell Verwendetes]
sA-bjn|[Bezeichnung des Seth]|Wb III S 409|[Bezeichnung des Seth]
sA-mr=f|[Bezeichnung des Horus]|Wb III S 409|[Bezeichnung des Horus]
sA-mr=f|[Priester]|Wb III S 410|[Priester]
sA-n-jrtj|Augenlider|Wb IV S 9|Augenlider
sA-n-jtn|[Pflanzen]|Wb III S 415|[Pflanzen]
sA-n-mw|Wasserschwall|Wb IV S 13|Wasserschwall
sA-n-msw|Geburtsamulett|Meeks: AL 792391|Geburtsamulett
sA-nbwj|[Bezeichnung des Thot]|Wb II S 231|[Bezeichnung des Thot]
sA(-r)|sich begeben nach|Wb III S 413|sich begeben nach
sA-ra|[Titel des K&ouml;nigs]|Wb III S 410|[Titel des Koenigs]
sA-rnpt|dauernder Schutz|Wb III S 415|dauernder Schutz
sA-rnpt|Hungersnot|Wb III S 416|Hungersnot
sA-rq|feindseliger Mann|Wb II S 456|feindseliger Mann
sA-Hmm|[Arzt]|Wb III S 95|[Arzt]
sA-xd|nordw&auml;rts|Wb III S 355|nordwaerts
sA-s|von guter Herkunft|Wb III S 406|von guter Herkunft
sA-st|[Pflanze bei Salbenbereitung]|Wb III S 416|[Pflanze bei Salbenbereitung]
sA-Sma|[etwas Kostbares]|Wb III S 416|[etwas Kostbares]
sA-kt|j&uuml;ngerer Sohn|Wb V S 147|juengerer Sohn
sA-gb|Erdboden|Wb IV S 9|Erdboden
sA-tA|Schlange|Wb III S 410|Schlange
sA-tA|Jauchzen|Wb III S 416|Jauchzen
sA-TAj|Sohn|Wb V S 345|Sohn
sAA|verstehen|Wb IV S 16|verstehen
sAA|Verst&auml;ndiger|Wb IV S 16|Verstaendiger
sAA|(= {sAwj}) [Gold],]|Wb IV S 16|(= {sAwj}) [Gold],]
sAjt|[G&ouml;ttin]|Wb III S 418|[Goettin]
sAj|satt sein, machen, werden|Wb IV S 14|satt sein, machen, werden
sAj|Sattwerden (von Speisen)|Wb IV S 15|Sattwerden (von Speisen)
sAj|[Gott]|Wb IV S 16|[Gott]
sAj|[T&auml;tigkeit der M&uuml;llerin]|Wb IV S 16|[Taetigkeit der Muellerin]
sAjt|[offizinell verwendetes Pflanzenprodukt]|Wb IV S 16|[offizinell verwendetes Pflanzenprodukt]
sAj-kAw|Sattwerden|Wb IV S 15|Sattwerden
sAj-tA|Nehrung am Delta|Wb III S 410|Nehrung am Delta
sAjt|Sarg|Meeks: AL 783286|Sarg
sAw|Zauberer|Wb III S 415|Zauberer
sAw|bewachen|Wb III S 416|bewachen
sAw|W&auml;chter|Wb III S 418|Waechter
sAw|schm&auml;hende Bezeichnung des Apophis|Wb III S 418|schmaehende Bezeichnung des Apophis
sAw|langsam gehen|Wb III S 418|langsam gehen
sAw|zerbrechen|Wb III S 419|zerbrechen
sAw|abschneiden|Wb III S 419|abschneiden
sAw|[Gewebe oder Kleid]|Wb III S 419|[Gewebe oder Kleid]
sAw|Balken|Wb III S 419|Balken
sAw|Zweige der B&auml;ume|Wb III S 419|Zweige der Baeume
sAw|Sais|Wb III S 420|Sais
sAwt|Bewachung|Wb III S 418|Bewachung
sAwt|[K&ouml;rperteil des Menschen]|Wb III S 419|[Koerperteil des Menschen]
sAwtj|W&auml;chter|Wb III S 418|Waechter
sAwtj|h&uuml;ten|Wb III S 418|hueten
sAwtj|Siut (Stadt)|Wb III S 420|Siut (Stadt)
sAw|S&auml;ttigung|Wb IV S 15|Saettigung
sAw|[Bauteil]|Wb IV S 17|[Bauteil]
sAw|Wild(bret)(?)|Meeks: AL 792401|Wild(bret)(?)
sAw-a|Schwacher|Wb III S 419|Schwacher
sAw-n=sn|[Bezeichnung der G&ouml;tter]|Wb III S 417|[Bezeichnung der Goetter]
sAw-nmtt|vorsichtig, gemessen gehen|Wb III S 417|vorsichtig, gemessen gehen
sAw-sS|Archivar|Wb III S 418|Archivar
sAwj|(= {swt}) geh&ouml;ren (3 masc sg)|Wb IV S 13|(= {swt}) gehoeren (3 masc sg)
sAwj|verl&auml;ngern|Wb IV S 17|verlaengern
sAwj|jemanden erfreuen|Wb IV S 17|jemanden erfreuen
sAwj|aufpassen auf etwas|Wb IV S 17|aufpassen auf etwas
sAwj-jb|jemandes Herz erfreuen|Wb IV S 17|jemandes Herz erfreuen
sAwj-srt|[Dekan]|Wb III S 409|[Dekan]
sAwj-qd|[Dekan]|Wb III S 409|[Dekan]
sAwt|[Substantiv]|Meeks: AL 783285|[Substantiv]
sAb|flie&szlig;en, rinnen|Wb III S 420|fliessen, rinnen
sAb|Schakal|Wb III S 420|Schakal
sAb|(= {zAbj}) wie ein Schakal durchziehen|Wb III S 420|(= {zAbj}) wie ein Schakal durchziehen
sAb|Richter|Wb III S 421|Richter
sAb|jemanden verweilen lassen|Wb IV S 17|jemanden verweilen lassen
sAb|jemandes Herz erfreuen|Wb IV S 17|jemandes Herz erfreuen
sAb|bunt|Wb IV S 17|bunt
sAb|(= {zAb}) rinnen, flie&szlig;en|Wb III S 420|(= {zAb}) rinnen, fliessen
sAbt|bunte Kuh|Wb IV S 18|bunte Kuh
sAbt|bunte Schlange|Wb IV S 18|bunte Schlange
sAb-jb|Herz erfreuen|Wb IV S 17|Herz erfreuen
sAb-Swt|[Horus von Edfu]|Wb IV S 18|[Horus von Edfu]
sAbj|[Gew&auml;sser im Jenseits]|Wb III S 420|[Gewaesser im Jenseits]
sAbw|[Vogel; Taubenart]|RdE 29 (1977) S 11; Meeks: AL 773344|[Vogel; Taubenart]
sAp|Teich anlegen|Wb IV S 18|Teich anlegen
sApt|Blatt des Lotus|Wb IV S 18|Blatt des Lotus
sAm|verbrennen|Wb IV S 18|verbrennen
sAm|sich bem&auml;chtigen|Meeks: AL 783293|sich bemaechtigen
sAm|in Trauer h&uuml;llen|Meeks: AL 783294|in Trauer huellen
sAmt|Trauer|Wb IV S 18|Trauer
sArt|[Gartenpflanze]|Wb III S 422|[Gartenpflanze]
sAr|klug sein|Wb IV S 18|klug sein
sAr|Wunsch|Wb IV S 18|Wunsch
sAr|Bed&uuml;rftiger|Wb IV S 19|Beduerftiger
sAr|Not|Wb IV S 19|Not
sAr|(durch)sieben|Meeks: AL 773350|(durch)sieben
sAr|[Fisch:] Synodontis|RdE 29 (1977) S 11; Meeks: AL 773351|[Fisch:] Synodontis
sArt|Verstand|Wb IV S 18|Verstand
sArt|Wunsch|Wb IV S 19|Wunsch
sArt|(= {zArt}) [Gartenpflanze]|Wb IV S 19|(= {zArt}) [Gartenpflanze]
sArw|Fesseln|Wb III S 422|Fesseln
sAr-n-mw|Wassernot|Wb IV S 19|Wassernot
sArj|[offizinell verwendete Pflanze]|Wb IV S 19|[offizinell verwendete Pflanze]
sAhwt|[Erzeugnis des Wadi Natrun]|Wb IV S 19|[Erzeugnis des Wadi Natrun]
sAhhw|Ha&szlig; erregend|Wb IV S 19|Hass erregend
sAhd|(Verbum)|Wb IV S 19|(Verbum)
sAH|Zehe des menschlichen Fu&szlig;es|Wb IV S 20|Zehe des menschlichen Fusses
sAH|beide 5-Zehen-Paare|Wb IV S 20|beide 5-Zehen-Paare
sAH|Ort erreichen|Wb IV S 20|Ort erreichen
sAH|sich n&auml;hern, herankommen|Wb IV S 20|sich naehern, herankommen
sAH|Nachbarn|Wb IV S 21|Nachbarn
sAH|belehnen, beschenken|Wb IV S 21|belehnen, beschenken
sAH|Ackerland, (mit dem jemand beschenkt ist)|Wb IV S 21|Ackerland, (mit dem jemand beschenkt ist)
sAH|Orion|Wb IV S 22|Orion
sAH|[Gestell]|Wb IV S 22|[Gestell]
sAH|[Gew&auml;sser]|Wb IV S 22|[Gewaesser]
